Date,Source,Count
1/7/2018,none,2
1/7/2018,here,2
1/7/2018,there,1
1/8/2018,none,2
1/8/2018,here,1
1/8/2018,there,2
1/9/2018,none,1
1/9/2018,here,5
1/9/2018,there,1
1/10/2018,none,5
1/10/2018,here,6
1/10/2018,there,7
1/11/2018,none,7
1/11/2018,here,1
1/11/2018,there,7
1/12/2018,none,2
1/12/2018,here,3
1/12/2018,there,6
1/13/2018,none,5
1/13/2018,here,9
1/13/2018,there,3
1/14/2018,none,7
1/14/2018,here,6
1/14/2018,there,8
1/15/2018,none,4
1/15/2018,here,4
1/15/2018,there,8
1/16/2018,none,5
1/16/2018,here,10
1/16/2018,there,3
